,as_of_date,variable,c_value,i_value,f_value,e_value,v_value
666,2020-08-25,staple,0.001740020470829086,,0.0446556036248123,,
667,2020-08-26,staple,0.007458874016552465,,0.04443409765445113,,
668,2020-08-27,staple,0.015618661257606555,,0.04434549526630666,,
669,2020-08-28,staple,0.011284202117036103,,0.044478398848523365,,
670,2020-09-01,staple,0.03742470623086804,97.0,0.030634275700950106,4515880.0,2.8
671,2020-09-02,staple,0.035598705501618075,,0.030634275700950106,,
672,2020-09-03,staple,-0.00321691176470583,,0.030589974506877872,,
673,2020-09-04,staple,-0.005624711848778234,,0.030567823909841755,,
674,2020-09-07,staple,-0.023831602373887307,,0.030390619133552815,,
675,2020-09-08,staple,0.005129666571672901,,0.030257715551336113,,
676,2020-09-09,staple,-0.042151025422927965,,0.030235564954299996,,
677,2020-09-10,staple,-0.005722742969906249,,0.03021341435726388,,
678,2020-09-11,staple,-0.007641163044556872,,0.030169113163191645,,
679,2020-09-14,staple,-0.011400000000000006,,0.029903305998758237,,
680,2020-09-15,staple,-0.001213837750354082,,0.02981470361061377,,
681,2020-09-16,staple,-0.0007089325501315898,,0.029748251819505418,,
682,2020-09-17,staple,-0.0011148272017837176,,0.029703950625433184,,
683,2020-09-18,staple,-0.0018262987012987704,,0.029681800028397064,,
684,2020-09-21,staple,0.008639967473063719,,0.029371691669891425,,
685,2020-09-22,staple,-0.003023279250226717,,0.029305239878783074,,
686,2020-09-23,staple,0.007985444253512504,,0.029260938684710837,,
687,2020-09-24,staple,0.0040112314480546096,,0.029216637490638603,,
688,2020-09-25,staple,0.005793048341989595,,0.029150185699530252,,
689,2020-09-28,staple,0.03992055610724921,,0.02861857137066344,,
690,2020-09-29,staple,0.01690221543162716,,0.028485667788446734,,
691,2020-09-30,staple,0.004037937834538518,,0.028463517191410617,,
692,2020-10-01,staple,0.019827908716797647,97.9,0.02319167509681472,,3.0
693,2020-10-02,staple,0.01375641966250917,,0.02319167509681472,,
694,2020-10-05,staple,-0.017731138049574886,,0.023169524499778604,,
695,2020-10-06,staple,-0.03011604347025231,,0.02312522330570637,,
696,2020-10-07,staple,0.013294084132560929,,0.02312522330570637,,
697,2020-10-08,staple,-0.022865710804985454,,0.023103072708670253,,
698,2020-10-09,staple,-0.020715450273328825,,0.023103072708670253,,
699,2020-10-12,staple,-0.017236313779257714,,0.023036620917561902,,
700,2020-10-13,staple,0.01454907822620835,,0.023014470320525785,,
701,2020-10-14,staple,-0.02465376682054813,,0.023014470320525785,,
702,2020-10-15,staple,0.003121852970795592,,0.022992319723489668,,
703,2020-10-16,staple,0.004618010239935686,,0.02297016912645355,,
704,2020-10-19,staple,0.003097831517937467,,0.022837265544236846,,
705,2020-10-20,staple,0.001494321578003643,,0.022837265544236846,,
706,2020-10-21,staple,0.004078384561822307,,0.022770813753128494,,
707,2020-10-22,staple,0.0005944125222904921,,0.02272651255905626,,
